file,peak,plato,Ra,Rm+Ra,Rm,tau,Cm,Ih,Cell,Stimulation_Type,VC,Rm_scaled,Cm_scaled
2020_02_13_0022,-185.6262054,-33.89281845,53.87170403,295.0477552,241.1760511,0.80387944,3.375673306,-128.826889,3,control,-70,0.520364452,0.267298084
2020_02_13_0022,-181.3171234,-32.44684219,55.15198902,308.1964014,253.0444124,0.800410569,3.102797307,-131.0607758,3,control,-70,0.579383188,0.22765307
2020_02_13_0022,-182.897934,-33.18426132,54.67530323,301.3476751,246.6723719,0.913777888,3.80436404,-133.1420746,3,control,-70,0.54769644,0.329580769
2020_02_13_0022,-183.4289398,-32.71650696,54.51702447,305.6561024,251.1390779,0.877442002,3.446248834,-132.4889984,3,control,-70,0.569908381,0.277551707
2020_02_13_0022,-182.3272552,-31.49275398,54.84643525,317.5333604,262.6869251,0.904098034,3.406465403,-133.590683,3,control,-70,0.627333271,0.271771739
2020_02_13_0022,-182.0129242,-32.70985031,54.94115346,305.7183052,250.7771517,0.860133767,3.491021518,-134.0270844,3,control,-70,0.568108602,0.284056543
2020_02_13_0022,-181.1096039,-33.57099915,55.21518343,297.8761507,242.6609672,0.866240263,3.490933302,-135.9069672,3,control,-70,0.527748612,0.284043727
2020_02_13_0022,-182.3974457,-32.66157532,54.82532917,306.1701679,251.3448388,0.912844002,4.003733435,-133.3984222,3,control,-70,0.570931584,0.358546315
2020_02_13_0022,-182.2234955,-34.56282043,54.87766533,289.3282398,234.4505745,0.799799144,3.425266521,-135.1592865,3,control,-70,0.486920145,0.274503274
2020_02_13_0022,-180.163559,-33.25750351,55.50512022,300.6840245,245.1789043,0.844757736,3.168936016,-132.0922699,3,control,-70,0.540269756,0.237262087
2020_02_13_0022,-180.3619232,-32.33503723,55.44407501,309.2620531,253.8179781,0.893918812,3.776956297,-132.6263275,3,control,-70,0.583229959,0.325598812
2020_02_13_0024,-173.6108551,-36.3058815,57.60008494,275.437466,217.837381,0.883219898,4.673784878,-125.0557938,3,control,-70,0.404306408,0.455895288
2020_02_13_0024,-171.1446228,-32.06074142,58.43011505,311.9079458,253.4778308,0.887821019,3.652654117,-125.231926,3,control,-70,0.581538482,0.307539468
