file,peak,plato,Ra,Rm+Ra,Rm,tau,Cm,Ih,Cell,Stimulation_Type,VC,Rm_scaled,Cm_scaled
2020_02_13_0019,-254.3834076,-39.2583847,39.31074001,254.7226554,215.4119154,0.599305511,2.764024124,-113.1702728,3,control,-70,0.392245104,0.17843413
2020_02_13_0019,-248.4047394,-32.41460419,40.25688087,308.5029187,268.2460378,0.636504948,2.365976717,-114.1440582,3,control,-70,0.654977509,0.120603486
2020_02_13_0019,-245.6054382,-32.60868835,40.71571082,306.6667353,265.9510245,0.654232323,2.433024885,-119.6288986,3,control,-70,0.643564915,0.130344634
2020_02_13_0019,-243.0253296,-33.41999817,41.14797423,299.2220391,258.0740649,0.595433176,2.441325253,-118.7910538,3,control,-70,0.604394537,0.13155056
2020_02_13_0020,-237.9434967,-32.37351608,42.02678425,308.8944671,266.8676829,0.66798979,1.992668005,-112.0320587,3,control,-70,0.648123255,0.066367024
2020_02_13_0020,-240.9728699,-34.48736954,41.49844754,289.9612274,248.4627798,0.708829701,2.17686125,-109.6130295,3,monochromator,-70,0.556599743,0.09312769
2020_02_13_0020,-236.3240356,-34.11816788,42.31478179,293.098974,250.7841922,0.692567647,2.184311621,-116.092926,3,monochromator,-70,0.568143613,0.094210124
2020_02_13_0020,-226.6723328,-27.19869423,44.11654426,367.664709,323.5481648,0.64896071,1.535864833,-116.2231369,3,monochromator,-70,0.929982754,0
2020_02_13_0020,-230.5379028,-34.12678146,43.37681517,293.0249959,249.6481808,0.68888092,2.304044898,-108.5733948,3,monochromator,-70,0.56249448,0.111605671
2020_02_13_0020,-224.5645905,-27.25589943,44.53061803,366.8930474,322.3624293,0.688296735,1.792725982,-107.9549103,3,monochromator,-70,0.924086354,0.037318283
2020_02_13_0020,-218.5628052,-30.8294487,45.75343912,324.3651905,278.6117514,0.750219762,2.00961805,-105.533844,3,monochromator,-70,0.70652391,0.068829625
2020_02_13_0020,-219.0999146,-34.59065628,45.6412775,289.0954112,243.4541337,0.732462168,2.288725145,-134.9039612,3,monochromator,-70,0.531692853,0.109379928
2020_02_13_0020,-213.950592,-35.00629425,46.73976316,285.6629133,238.9231502,0.740757465,2.192143214,-149.3306274,3,monochromator,-70,0.509161275,0.095347943
2020_02_13_0020,-216.1641235,-36.80335999,46.26114564,271.7143218,225.4531762,0.788619518,2.760721614,-138.2059631,3,monochromator,-70,0.442178073,0.177954322
2020_02_13_0021,-210.9525146,-34.62554932,47.40403316,288.8040825,241.4000493,0.910082579,3.626349798,-140.6099548,3,control,-70,0.521478346,0.303717823
2020_02_13_0021,-212.3121796,-31.99998665,47.10045378,312.5001304,265.3996766,0.935813546,3.070909603,-140.2268524,3,control,-70,0.640823184,0.223020239
2020_02_13_0021,-209.3393097,-33.59397125,47.76933685,297.6724581,249.9031213,0.876292348,3.261089189,-136.1196442,3,control,-70,0.563762242,0.250650636
